timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030722.5450978,1.0512026470023557,2611972.1138733462,61,185446,5837,0,0,4572464,3430888,343214,0
1773030723.5908139,2.0963108979995013,4610952.018991535,82,203908,23517,0,0,5590088,4088352,945582,0
1773030724.6476567,3.153634341000725,6113429.190269566,110,159299,9640,0,0,9598832,5935752,1753566,0
1773030725.6865294,4.19274273100018,7714429.098204279,145,166663,17448,0,0,12093952,9428064,2755582,0
1773030726.735297,5.241514748002373,10824392.542861164,194,166649,11001,0,0,16182208,13252272,4174622,0
1773030727.7948892,6.3010521110008995,14387924.892858362,259,190807,7019,0,0,18868792,15251120,6080190,0
1773030728.849379,7.355563170000096,19366882.713759728,348,190497,5270,0,0,25393952,21100872,8633014,0
1773030730.0566442,8.562810702002025,24046024.721923895,473,156209,6254,0,0,42091408,9674920,12261702,0
1773030731.114055,9.620232900000701,37772643.77047815,645,161046,1128,0,0,55673328,39302920,17254406,0
1773030732.1684644,10.67190241299977,44026424.10728604,845,150725,2548,0,0,77930784,13432712,23042062,0
1773030733.1669304,11.67302448600094,63721587.726820044,1120,190831,687,0,0,81584672,63296008,31016198,0
1773030734.1721468,12.678336469001806,85568246.9269104,1491,165964,6772,0,0,124882680,83964304,41769046,0
1773030735.1748958,13.681086922002578,84091143.26267484,1835,252094,8904,0,0,101184144,124935680,52309350,0
1773030736.175324,14.681533806000516,85429342.99366176,1934,150291,2871,0,0,178880168,124935680,62992790,0
1773030737.1799407,15.686139973000536,95404009.20114808,2036,150450,699,0,0,188115056,124935680,74973222,0
1773030738.1906583,16.696801692000008,90263745.3116473,2142,155238,555,0,0,191805264,124935680,86376486,0
1773030739.197417,17.703538202000345,80223096.30945335,2142,153465,2178,0,0,194021520,124935680,96471926,0
1773030740.1977785,18.703970856000524,81492805.81157985,2142,149961,728,0,0,198554544,124935680,106662934,0
1773030741.2014172,19.70761741000024,89041959.68576539,2470,150265,1827,0,0,228495592,124935680,117833766,0
1773030742.2025907,20.708727393001027,89469841.99630092,2470,151304,733,0,0,226925768,124935680,129029910,0
1773030743.2075918,21.713718697999866,86242242.66308466,2470,184073,462,0,0,186528488,124935680,139863998,0
1773030744.2356248,22.741774713002087,75747467.90410225,2470,208920,2937,0,0,164344792,124935680,149598078,0
1773030745.2377892,23.743985023000278,81839716.85558502,2470,224960,5242,0,0,152626432,124935680,159850654,0
1773030746.2428896,24.749021354000433,82877895.48573752,2470,162131,1566,0,0,211772720,124935680,170262566,0
1773030747.2467794,25.750771983002778,81645996.15121235,2470,161378,5691,0,0,212761024,124935680,180486182,0
1773030748.2507074,26.756832979001047,78250014.97238791,2470,154725,1054,0,0,221909680,124935680,190326718,0
1773030749.2547216,27.760914119000518,78242792.21103725,2470,148801,924,0,0,230743672,124935680,200146982,0
1773030750.2574694,28.763614073002827,81730435.58333625,2470,155319,4066,0,0,221060120,124935680,210390870,0
1773030751.2652652,29.770678813001723,82095345.72731705,2470,154239,804,0,0,222608728,124935680,220725286,0
1773030752.2712846,30.777349627001968,76453067.80492525,2470,150407,880,0,0,228279680,124935680,230345670,0
1773030753.2741387,31.780216526000004,84276021.1593797,2470,152671,3628,0,0,224894280,124935680,240910374,0
1773030754.2777412,32.78339463000157,80305357.22286306,2470,149220,356,0,0,230095952,124935680,250980446,0
1773030755.2804108,33.786541396002576,80666290.06100845,2470,152119,410,0,0,225710728,124935680,261095462,0
1773030756.2808611,34.78700071500134,80396224.48666434,1833,182867,5809,0,0,139336576,136779048,271149606,1
1773030757.2841613,35.789578047999385,81000961.54892667,1911,157178,4783,0,0,169007624,136779048,281300822,1
1773030758.2894666,36.795630158001586,82627036.0884369,2037,171585,13198,0,0,165024824,136779048,291691710,1
1773030759.2919652,37.798102229000506,79044596.14624555,2075,169646,14837,0,0,170024824,136779048,301596710,1
1773030760.29692,38.802926192001905,83702398.72542018,2075,163752,10741,0,0,176144448,136779048,312109982,1
1773030761.3039324,39.810132381000585,77384496.69127496,2075,150404,1281,0,0,191776760,136779048,321852750,1
1773030762.3085647,40.81476116500198,85022067.21550712,2075,155879,953,0,0,185040944,136779048,332529702,1
1773030763.318039,41.82404569500068,64031798.84277388,1474,195579,253,0,0,104764584,58074728,340607990,3
1773030764.3321552,42.838307016001636,89790761.13256805,1556,149717,1165,0,0,144469472,119402664,351991902,3
1773030765.3476882,43.85388346900072,84163904.89124213,1625,158505,3812,0,0,142511480,119402664,362676262,3
1773030766.3570962,44.863131025002076,78961574.41860873,1669,149126,966,0,0,155575400,119402664,372637734,3
1773030767.3595371,45.86567684700276,79489410.11091824,1708,152777,2547,0,0,155405784,119402664,382599206,3
1773030768.3659706,46.871873282001616,82960564.25611857,1727,149240,1947,0,0,160859424,119402664,393033534,3
1773030769.3664968,47.87271266099924,77460101.6175483,1750,226859,2293,0,0,107231304,119402664,402724174,3
1773030770.36697,48.87317524100217,82231849.19096017,1751,157748,4069,0,0,154298144,119402664,413007910,4
1773030771.3774974,49.88370615700114,82570330.78252208,1752,154395,2916,0,0,157738928,119402664,423437894,4
1773030772.3875258,50.89319039300244,84578699.65181915,1757,168278,10816,0,0,145138920,119402664,434110502,4
1773030773.398426,51.90453426500244,76615238.54074451,1764,151984,1197,0,0,161338496,119402664,443796046,4
1773030774.4255753,52.93072331000076,82874523.37803836,1781,151005,1267,0,0,163949952,119402664,454426662,4
1773030775.4407032,53.946885216002556,75476791.19538286,1781,150864,1349,0,0,164103456,119402664,464013742,4
1773030776.451305,54.95749169100236,83917166.66966382,1837,150276,1486,0,0,169924808,119402664,474614646,4
1773030777.4575672,55.963774913001544,79171158.0381141,1875,152647,918,0,0,170746744,119402664,484573222,4
1773030778.4660223,56.96962762600015,74395751.02095878,1875,151821,3266,0,0,171675712,119402664,493927118,4
1773030779.4673073,57.97340677300235,81538701.26156361,2038,159262,9462,0,0,177881920,119402664,504157974,4
1773030780.4694753,58.97566969300169,82211274.46284689,2057,153601,5261,0,0,186156224,119402664,514457638,4
1773030781.4721336,59.97828577800101,73347444.8497902,2057,188923,3896,0,0,151352176,119402664,523650054,4
