timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030535.8537738,1.0026138659995922,5130190.36982089,454,139544,853,0,0,75375680,18271800,642950,0
1773030536.8591554,2.008110964001389,37292407.97861854,656,147746,9423,0,0,61719912,42532096,5330126,0
1773030537.8637695,3.012744919000397,51599291.206568055,880,153093,1266,0,0,79903544,52495368,11809926,0
1773030538.8654766,4.014450210001087,65766057.733596064,1164,140895,2561,0,0,114840648,68295768,20044702,0
1773030539.867119,5.016093616999569,80180103.45683998,1511,138102,448,0,0,152090304,70564624,30083686,0
1773030540.874018,6.022978697001236,84957270.39659625,1754,142978,2922,0,0,170528856,115139968,40776462,0
1773030541.8877826,7.036652507002145,79548366.74721588,1852,144497,136,0,0,178163736,115139968,50855974,0
1773030542.895328,8.043474403999426,72839480.5662417,1919,213754,3821,0,0,124795664,115139968,60023022,0
1773030543.9043355,9.053237782001816,61439439.527636714,1984,331212,1026,1,1,89101032,115139968,67777934,1
1773030544.9101076,10.059018693002145,77039887.268227,1584,159970,13191,0,0,137643728,88981624,77463590,258
1773030545.922447,11.071351332000631,76763764.2078595,1670,207417,5015,0,0,111920944,97051088,87177398,258
1773030546.9231317,12.07204588100285,83804705.52539608,1798,139013,2441,0,0,179793528,117954096,97660262,258
1773030547.9247386,13.073646348999318,88564175.87088507,1894,138375,1383,0,0,190266240,117954096,108748502,258
1773030548.9284537,14.077368915000989,86131976.03435783,1955,141285,1897,0,0,192348904,117954096,119555078,258
1773030549.9379983,15.086855992001801,83998745.43409507,1955,140910,2340,0,0,192860288,117954096,130154534,258
1773030550.947652,16.096557562999806,71249060.18408304,2026,259008,2063,0,0,108734168,117954096,139147070,258
1773030551.9486456,17.09745707500042,72702667.0784862,1461,148089,1305,0,0,137140960,49522864,148243078,350
1773030552.9515202,18.100418976002402,78406104.87939626,1550,142402,4141,0,0,151305736,104319624,158072870,350
1773030553.9531074,19.101387265000085,79030036.08557186,1616,146183,550,0,0,153668160,104319624,167961190,350
1773030554.9589689,20.10787948000143,80023891.68990484,1672,187268,1157,0,0,124111544,129558768,178029118,350
1773030555.9757748,21.124681878001866,82340388.02882925,1712,194609,6163,0,0,122286856,129558768,188494606,350
