timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030784.408588,1.1733306290007022,17998282.392053165,187,97691,17603,0,0,26608856,20426824,2639742,2
1773030785.6263003,2.3960456190034165,19705916.91195878,156,69057,1415,0,0,31401840,26789440,5651582,4
1773030786.6569147,3.4269626029999927,21922603.226871524,175,67594,2057,0,0,35988856,13911736,8476630,4
1773030787.734537,4.504640424001991,23185675.266813964,184,78692,15590,0,0,32502904,9360952,11599966,4
1773030788.8665977,5.636772986003052,24945658.26291774,188,70233,4295,0,0,37209320,11425640,15130190,4
1773030789.9594047,6.729550225001731,25186820.34887559,188,69476,2202,0,0,37615152,29055016,18570638,4
1773030790.9668477,7.736978723001812,24756448.769824248,188,69074,5736,0,0,37834064,21146952,21688182,4
1773030792.041945,8.812159041000996,25502073.969345868,191,69255,3452,0,0,38337200,32659984,25115598,4
1773030793.1625295,9.93260351400022,26167386.87774337,201,68130,668,0,0,41010192,33533880,28780486,4
1773030794.2315733,10.999270576001436,28094809.587329183,219,70188,586,0,0,43372768,35175408,32526462,4
1773030795.3225203,12.0923520810029,29535407.791898143,249,82509,4261,0,0,41950184,38298120,36562038,4
1773030796.35963,13.129682740000135,30787760.607473906,201,82206,1206,0,0,33988416,28239600,40554174,6
1773030797.59774,14.365995490003115,23218357.976111464,164,78208,17343,0,0,29149544,9036184,44142318,38
1773030798.727206,15.497236073002568,23050431.881484758,180,72121,2218,0,0,34693632,15610992,47401766,38
1773030799.7988071,16.56902361200264,24696536.428007744,187,68615,1600,0,0,37884080,21762552,50710446,38
1773030800.8957171,17.662222922001092,22898865.532613084,138,85747,8773,0,0,22371520,15026080,53839574,41
1773030802.0195436,18.78973411900006,20517089.37487492,165,69799,2657,0,0,32860232,9462344,56731230,41
1773030803.2777674,20.047848907001026,22613440.578983277,182,115897,4678,0,0,21829136,20624536,60287518,41
1773030804.3310392,21.101183089002006,25910014.5674135,187,118551,5828,0,0,21926840,20129336,63699006,41
1773030805.4697876,22.23976403400229,24539852.105107028,188,72008,1140,0,0,36292304,16999064,67191582,41
1773030806.8003016,23.570293372002197,18596676.746110015,104,68129,1035,0,0,21219784,15400872,70284510,47
1773030807.830745,24.60084941400055,14882466.721809316,113,65049,1596,0,0,24147616,16468232,72201662,47
1773030808.8823526,25.65257072500026,14836295.35391653,116,69252,5547,0,0,23284248,16864840,74152118,47
1773030809.8929873,26.663178744001925,16173455.674878296,117,69142,746,0,0,23522512,19122856,76195246,47
1773030810.8942955,27.66436084000088,15747209.286907218,123,68554,4234,0,0,24940896,21723968,78165974,47
1773030811.9019415,28.67215078300069,17908366.84307283,129,66540,841,0,0,26948896,21864592,80421958,47
1773030813.247988,30.017944759001693,18824729.826239824,138,134168,8702,0,0,14297776,14140672,83588734,47
1773030814.4618366,31.231878667000274,19247281.788612273,152,69980,1556,0,0,30193216,15172992,86509350,47
1773030815.6408625,32.410934671002906,23874285.78832559,190,69230,675,0,0,38150120,29087152,90027990,47
1773030816.6496851,33.4198837690019,28278326.48503787,234,67696,1072,0,0,48049912,33634960,93594414,47
1773030817.650814,34.42101508200358,34701158.128635764,296,65814,1204,0,0,62518576,52431064,97936966,47
1773030818.658073,35.428222821003146,42784103.34972463,376,67042,2012,0,0,77960712,53280120,103323526,47
1773030819.6645534,36.43453454700284,58489136.595848314,477,67989,1696,0,0,97525440,41789128,110680814,47
1773030820.6697896,37.43962100800127,73589529.72715025,603,78633,15221,0,0,106597936,29823208,119926294,47
1773030821.686358,38.456534194003325,82154316.7597701,752,104232,4465,0,0,100289512,80701872,130369270,47
1773030822.700028,39.470117430002574,95550372.73729312,935,132204,7431,0,0,98311504,116772856,142475302,47
1773030823.7066433,40.47670864000247,78128240.36085916,1078,68987,538,0,0,217215344,141456856,152305702,47
1773030824.7147105,41.4848526090027,84173628.5782221,1268,68165,2360,0,0,258580168,141456856,162913094,47
1773030825.7147403,42.48493087600218,81858041.21673061,1494,77064,290,0,0,269487632,141456856,173146150,47
1773030826.7235513,43.4937360920012,66402321.21883198,1834,184141,2188,0,0,138448144,141456856,181519526,47
1773030827.7342725,44.50395385700176,89466334.02348627,987,70209,1381,0,0,195415376,136251488,192817086,51
1773030828.7373002,45.50749260000157,80709589.50512137,1045,69949,2252,0,0,207667784,136251488,202941486,51
1773030829.7448714,46.515010749000794,79804434.3715955,1109,67945,474,0,0,226889200,136251488,212992038,51
1773030830.7489812,47.51902386200163,84104590.7733374,1146,66274,1630,0,0,240369624,136251488,223547302,51
1773030831.76007,48.53026736800166,87089607.4758057,1161,67532,2469,0,0,238978248,136251488,234555902,51
1773030832.7709956,49.54118445000131,78469992.65566611,1186,104553,3292,0,0,157683936,136251488,244471734,51
1773030833.7723012,50.542490525000176,78008451.112302,1192,131038,5621,0,0,126449144,136251488,254235526,51
1773030834.776475,51.546695705001184,76248577.008857,1197,119964,7147,0,0,138701072,136251488,263806678,51
1773030835.785645,52.550102456003515,78705438.16962676,1198,69169,1124,0,0,240757816,136251488,273678374,51
1773030836.7868881,53.55703265100237,85391452.5823684,1198,72123,3542,0,0,230899408,138420240,284426278,51
1773030837.8032653,54.57334275800167,82539846.27554025,1200,69116,1553,0,0,241346424,138420240,294912038,51
1773030838.8041131,55.57409355600248,76511771.11520837,1207,68771,2065,0,0,243970312,145737256,304483190,51
1773030839.80729,56.57749962300295,75368186.90569532,1207,67207,1356,0,0,249650096,145737256,313936302,51
1773030840.809398,57.57960409000225,83559639.49620692,1229,69629,1090,0,0,245356088,145737256,324403238,51
1773030841.8190744,58.58921437000026,78933205.79120561,1229,68344,824,0,0,249969208,145737256,334364710,51
1773030842.8196115,59.58980885600249,78439960.54144278,1328,66975,777,0,0,275626064,145737256,344175534,51
