timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773031035.8549137,1.144462033000309,2905218.263364707,49,109837,4718,0,0,6201328,4889000,415614,0
1773031036.9276667,2.216687305997766,4948094.52230901,71,114792,5872,0,0,8597712,6935056,1078798,0
1773031037.9853394,3.274806086999888,8309327.986479023,109,113354,4275,0,0,13366856,9598528,2177830,0
1773031039.0322042,4.307399197998166,11106175.198973538,159,108643,1550,0,0,20343848,10928096,3611350,0
1773031040.0870554,5.376687894997303,16564222.599291427,235,111552,1046,0,0,29283856,13235696,5825342,0
1773031041.3048012,6.594426255000144,26026792.816090696,372,141558,12194,0,0,36529656,38926880,9787070,0
1773031042.3149798,7.604648464999627,34021948.49786323,521,109450,1816,0,0,66169640,52697696,14083286,0
1773031043.3218458,8.611473977998685,57745950.26581773,771,116748,6139,0,0,91799840,75979336,21350798,0
1773031044.3293571,9.618966326997906,64905386.19470005,686,125449,1665,0,0,76014240,56891504,29524758,6
1773031045.338496,10.62772030799897,59312142.63028212,768,116919,2682,0,0,91309288,78628192,37003678,6
1773031046.3425136,11.632166542996856,65252145.626428634,833,115228,2914,0,0,100490904,83025080,45196462,6
1773031047.3446665,12.63431904800018,74671908.34368253,881,114047,6826,0,0,107381608,61901424,54550542,6
1773031048.3540368,13.643580440999358,73732748.0434601,914,128093,19393,0,0,99187848,60938912,63852494,6
1773031049.3569543,14.646613738997985,82060334.55143847,936,141929,2151,0,0,91673640,70049864,74141150,6
1773031050.3595889,15.64922727999874,71151961.43151456,948,195433,10911,0,0,67429328,99138560,83058390,6
1773031051.3798428,16.669473460999143,71269826.19890966,955,152557,41203,0,0,87018096,50541424,92147486,6
1773031052.3833284,17.672799210999074,78117544.57613133,956,148091,11440,0,0,89736248,76074216,101944654,6
1773031053.3872385,18.67690729699825,78783486.66147955,957,149504,10960,0,0,88980888,80136400,111833046,6
1773031054.4560905,19.745575110999198,75519938.88339238,961,140359,18437,0,0,95174920,72440552,121921262,6
1773031055.466628,20.756207743997948,84728045.78447245,965,129894,10632,0,0,103270608,86784424,132624878,6
1773031056.4739845,21.763607556000352,73834502.56175199,972,117922,3263,0,0,114580024,89962096,141922486,6
1773031057.4829698,22.772556460997293,66235362.03768671,726,113541,2944,0,0,88883824,72554744,150275998,10
1773031058.48973,23.779317928998353,67345795.5583265,805,113795,5943,0,0,98335768,70295680,158751142,10
1773031059.508071,24.797635070997785,67798760.47695805,865,117546,5350,0,0,102293496,83226080,167381222,10
1773031060.5104604,25.800126789999922,72647590.61799766,911,118487,3959,0,0,106877560,88483392,176484798,10
1773031061.51456,26.804206726999837,71044415.26153713,941,124295,7750,0,0,105238024,48454448,185401582,10
1773031062.524054,27.81305724199774,76971562.03579023,960,117043,5306,0,0,114015448,80121728,195108182,10
1773031063.5369806,28.826547873999516,81163043.25135176,973,144900,5611,0,0,93343048,74492456,205390430,10
1773031064.5373318,29.82693489799931,79029317.7573407,977,137281,9051,0,0,98929064,76761680,215272918,10
1773031065.543908,30.83356738599832,73446944.02518873,978,124539,23895,0,0,109162224,22017336,224514678,10
1773031066.552474,31.842128636999405,82450853.54752608,978,126437,11274,0,0,107523016,95083240,234909270,10
1773031067.5631347,32.85278510999706,85213461.05324952,979,135433,8449,0,0,100483784,78051608,245674462,10
1773031068.5687358,33.858286204998876,68282738.17034066,984,135396,3944,0,0,101025040,76963056,254256758,10
1773031069.5788264,34.868333333997725,75636549.82686165,995,118593,11151,0,0,116628264,49945024,263806318,10
1773031070.592403,35.881165773997054,85847866.4052838,1014,136800,16010,0,0,103036344,58902208,274675006,10
1773031071.5961199,36.88578739500008,82616513.78469592,1046,121754,6881,0,0,119422944,94935280,285049798,10
1773031072.607575,37.897217317997274,81139398.91832487,1084,116793,4162,0,0,129018304,96946768,295308150,10
1773031073.6156125,38.90514891899875,74236338.97940521,1141,109605,2454,0,0,144708840,99655160,304661294,10
1773031074.6177728,39.907415678997495,79401966.7978408,1226,121094,6448,0,0,140736056,112534728,314609038,10
1773031075.6301353,40.91980376799984,82893934.56090511,1325,116371,6169,0,0,158274144,112534728,325099142,10
1773031076.6360123,41.92512129699753,74879203.66319676,1443,123370,9750,0,0,162590192,112534728,334508814,10
1773031077.6374452,42.92704529599723,80452122.19736849,1571,188613,7973,0,0,115782568,112534728,344584678,10
1773031078.6468613,43.93643260299723,86027315.18200104,1613,176528,11487,0,0,127016616,112534728,355439038,10
1773031079.647628,44.937254128999484,85061703.59869754,1613,128015,15458,0,0,175150760,112534728,366080486,10
1773031080.6495168,45.93916811999952,81985544.40587397,1902,131347,13674,0,0,201292912,112534728,376348294,10
1773031081.6551216,46.94470067799921,79045937.76467735,2297,115754,5332,0,0,275844784,112534728,386283702,10
1773031082.658133,47.947761338997225,75151618.37270881,2297,116827,3864,0,0,273311280,112534728,395706406,10
1773031083.6620562,48.95168942099917,77291018.54115622,2297,112041,2183,0,0,284985232,112534728,405405734,10
1773031084.6814907,49.971131373997196,80819997.40907253,2297,115816,6798,0,0,275697112,112534728,415704646,10
1773031085.6859386,50.97557658000005,79783330.65962398,2297,118159,3931,0,0,270229400,112534728,425721894,10
1773031086.6866803,51.97613545999775,76045755.54831424,2297,112287,3724,0,0,284359616,112534728,435232926,10
1773031087.7058814,52.99549877899699,79178018.76492693,2297,113980,3772,0,0,280136224,112534728,445321822,10
1773031088.7125652,54.00045193799815,76468471.50207447,2297,151742,9111,0,0,210423856,112534728,454927726,10
1773031089.7195797,55.00921483399725,80033459.12127224,2297,151918,8673,0,0,210178864,112534728,465019574,10
1773031090.7243562,56.014001110997924,72762458.71732862,2297,172894,9416,0,0,184679888,112534728,474158414,10
1773031091.7318482,57.021426365998195,75418430.91870826,2297,145186,5739,0,0,219925160,112534728,483655718,10
1773031092.7349856,58.02454179099732,88338037.46969344,2297,141006,17295,0,0,226445032,112534728,494732374,10
1773031093.751538,59.041121237998595,84056753.51008022,1611,139216,11918,0,0,160858288,112534728,505413670,18
