timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030598.327451,1.286039336999238,3179884.0691312565,109,291792,1166,0,0,5192696,3988592,511182,0
1773030599.34493,2.300030588001391,8453879.647904178,146,186677,2008,0,0,10871752,8479920,1582702,0
1773030600.5679188,3.5192972219992953,9415285.943123523,195,152430,1508,0,0,17782880,12517128,3017670,0
1773030601.6235082,4.582124706001196,13809322.981314396,259,150881,1527,0,0,23861896,10482656,4852286,0
1773030602.6585493,5.617119023001578,19015772.045048557,344,154519,5499,0,0,30946736,11400288,7312438,0
1773030603.7306058,6.688530245999573,25808025.346820317,463,157699,2919,0,0,40812176,16435664,10768814,0
1773030604.7939637,7.752468050999596,36332770.41038988,630,171648,4305,0,0,51020016,33196408,15600790,0
1773030605.8065772,8.76520503500069,42653459.56789243,816,150920,2642,0,0,75159312,18098864,21000382,0
1773030606.8073277,9.765931931000523,60412982.04501351,1077,156526,2899,0,0,95646400,72086896,28557494,0
1773030607.814733,10.773168511001131,79746365.04956114,1424,166602,7360,0,0,118814528,81593720,38597926,0
1773030608.8225198,11.780547544000001,95264273.78016283,1838,170157,10114,0,0,150152840,95281736,50593830,0
1773030609.8250144,12.78360660999897,74221846.47307357,1949,151306,1947,0,0,179058424,106007432,59899942,0
1773030610.8258672,13.784453937001672,90101190.82803576,2099,149766,1741,0,0,194822120,115733224,71172134,0
1773030611.8336277,14.79229482899973,87579030.28226218,2211,155814,5721,0,0,197251184,115733224,82205350,0
1773030612.839595,15.797952732998965,82187152.97847727,2211,153375,3265,0,0,200388544,115733224,92536870,0
1773030613.8484313,16.80646820000038,78691314.70632027,2211,151406,2093,0,0,202994712,115733224,102457046,0
1773030614.8601203,17.818682282002555,82290196.78845082,2211,150914,2063,0,0,203656672,115733224,112868958,0
1773030615.8713722,18.829846012002236,82186428.89814323,2211,151755,2065,0,0,202527208,115733224,123256950,0
1773030616.875892,19.834533920002286,79140994.2996905,2211,166548,10769,0,0,184538712,115733224,133195950,0
1773030617.8766184,20.83520807199966,76239802.7846734,2211,228460,3402,0,0,134529464,115733224,142732350,0
1773030618.88888,21.847442459002195,82368654.00996411,2211,215144,22320,0,0,142855768,115733224,153154398,0
1773030619.8929465,22.85151975700137,86182305.06001458,2211,188748,15789,0,0,162833864,115733224,163971110,0
1773030620.8954058,23.85245226600091,82899207.74272518,2211,173892,13756,0,0,176745600,115733224,174343174,0
1773030621.8992946,24.85741980899911,80202932.48430236,2211,170763,11017,0,0,179983560,115733224,184418342,0
1773030622.9022794,25.86081537100108,76372671.85745195,1650,158770,1055,0,0,144462552,88022144,193997342,12
1773030623.907891,26.866535991001,81975401.87652367,1752,152863,1519,0,0,159319664,92742856,204302886,12
1773030624.9190645,27.877611325002363,76240538.57088377,1809,154978,3725,0,0,162257896,92742856,213938502,12
1773030625.935099,28.893646994001756,81404701.15724786,1965,157545,3166,0,0,173379352,106256632,224277262,12
1773030626.9418225,29.900410270001885,83218990.99544556,2033,149426,898,0,0,189125416,113912312,234749990,12
1773030627.9687867,30.927420743002585,79637871.42406698,2097,157544,3991,0,0,185026504,113912312,244973606,12
1773030628.9775238,31.936088401002053,79006970.59927154,2097,156178,3991,0,0,186645560,113912312,254935078,12
1773030629.9865916,32.945181138002226,82825767.08307596,2097,172765,9812,0,0,168725680,113912312,265382438,12
1773030630.9965205,33.9551322949992,81367515.08295567,2097,185353,6771,0,0,157266720,113912312,275654590,12
1773030632.001717,34.9603093959995,80312979.59301199,2174,208935,27109,0,0,144639560,113912312,285745686,12
1773030633.0055065,35.96409556100116,85785856.59213373,2174,190134,7516,0,0,158941896,113912312,296509518,12
1773030634.0068052,36.96532515099898,91964681.14790784,2174,158089,5822,0,0,191159232,113912312,308019238,12
1773030635.0163188,37.97496294400116,86235440.6733382,2174,165557,8580,0,0,182537088,113912312,318902558,12
1773030636.0321178,38.99069299899929,80773208.98036343,2174,150328,1458,0,0,201028672,113912312,329158030,12
1773030637.0957382,40.052766717999475,88021189.4217712,1078,184449,23357,0,0,81242136,113912312,340843654,16
1773030638.1006577,41.059260583999276,68192367.90064411,1147,163406,655,0,0,97574024,65240112,349423054,16
1773030639.1146376,42.073176475001674,80169300.74903792,1206,155522,3024,0,0,107793992,81724640,359583670,16
1773030640.1263416,43.08494596300079,75461994.95597616,1247,160657,5622,0,0,107895800,65832328,369127438,16
1773030641.1327307,44.09132472499914,81264671.99844803,1275,155166,4282,0,0,114222496,72701808,379350318,16
1773030642.1426466,45.10128047300168,82307352.7373904,1292,153092,2315,0,0,117313984,95328136,389741166,16
1773030643.1451287,46.103785100000096,81567160.68715881,1302,241432,7427,0,0,74964312,64613672,399962598,16
1773030644.151495,47.11009925699909,78944603.38003494,1306,180458,3211,0,0,100601632,79366896,409892982,16
1773030645.1546009,48.11281670600147,79239327.16943453,1306,182190,5832,0,0,99645256,81766984,419824814,16
1773030646.165532,49.124182858002314,82020763.53444205,1306,154508,10191,0,0,117498032,58058176,430193942,16
1773030647.1767564,50.13531683600013,82177074.26322839,1308,177958,8031,0,0,102171480,80810696,440580446,16
1773030648.1836674,51.142026096000336,80800734.8616057,1314,174470,2894,0,0,104691688,86264384,450748302,16
1773030649.191773,52.15027611500045,79930460.18478753,1328,157881,7431,0,0,116924888,99670976,460822038,16
1773030650.2175462,53.176149008999346,82080437.54014108,1351,170546,6939,0,0,110116320,93527024,471347550,16
1773030651.2262862,54.184779686002,78154592.95195754,1382,157724,4340,0,0,121800096,86049984,481201190,16
1773030652.2310123,55.18964919300197,91812884.51616141,1431,161189,5726,0,0,123407624,98873544,492733686,16
1773030653.2413082,56.19982841300225,86923569.8591934,1496,150133,2648,0,0,138514488,104344072,503709734,16
1773030654.248295,57.20695380500183,75592827.47190607,1100,171506,3813,0,0,89156264,39595488,513226166,22
1773030655.2514844,58.210081526001886,71664621.05975041,1213,159234,10473,0,0,105892064,77319240,522212262,22
1773030656.263721,59.2223482469999,73342187.8443297,905,158327,8835,0,0,79457160,53620912,531492494,24
